rank,school,conf,composite_pts
1,Ohio State,Big Ten,33.8
2,Georgia,SEC,32.7
3,Alabama,SEC,31.1
4,Michigan,Big Ten,25.8
5,Tennessee,SEC,25.7
6,Texas,Big 12,20.6
7,Clemson,ACC,18.3
8,LSU,SEC,17.0
9,USC,Pac-12,16.9
10,Oregon,Pac-12,16.7
11,Penn State,Big Ten,16.7
12,Kansas St.,Big 12,16.5
13,TCU,Big 12,16.1
14,Ole Miss,SEC,15.5
15,Miss. St.,SEC,14.7
16,Utah,Pac-12,14.7
17,UCLA,Pac-12,14.2
18,Baylor,Big 12,13.6
19,Illinois,Big Ten,12.6
20,Minnesota,Big Ten,12.1
21,Oklahoma,Big 12,11.5
22,Florida St.,ACC,11.4
23,UCF,AAC,10.9
24,Wisconsin,Big Ten,10.8
25,Oklahoma St.,Big 12,10.4
26,Maryland,Big Ten,10.3
27,Arkansas,SEC,10.3
28,Notre Dame,Independent,10.1
29,Louisville,ACC,9.9
30,Texas A&M,SEC,9.7
31,Wake Forest,ACC,9.5
32,Washington,Pac-12,9.1
33,Kentucky,SEC,8.9
34,Syracuse,ACC,8.6
35,Cincinnati,AAC,8.5
36,North Carolina,ACC,8.2
37,Oregon St.,Pac-12,8.0
38,Iowa St.,Big 12,8.0
39,Purdue,Big Ten,7.7
40,Florida,SEC,7.5
41,Texas Tech,Big 12,7.4
42,Tulane,AAC,7.1
43,Iowa,Big Ten,7.0
44,NC State,ACC,6.4
45,Missouri,SEC,5.6
46,Wash. St.,Pac-12,5.1
47,Pitt,ACC,4.8
48,East Carolina,AAC,4.8
49,South Carolina,SEC,4.6
50,Kansas,Big 12,4.4
51,SMU,AAC,4.3
52,App State,Sun Belt,4.1
53,Auburn,SEC,3.9
54,Boise St.,MWC,3.6
55,Houston,AAC,3.5
56,Michigan St.,Big Ten,2.8
57,Air Force,MWC,2.7
58,Memphis,AAC,2.4
59,JMU,Sun Belt,2.0
60,S. Alabama,Sun Belt,1.9
61,Duke,ACC,1.7
62,Miami-FL,ACC,1.6
63,West Virginia,Big 12,1.5
64,Troy,Sun Belt,1.4
65,UTSA,C-USA,1.4
66,Liberty,Independent,1.3
67,UAB,C-USA,0.8
68,Western Kentucky,C-USA,0.8
69,Toledo,MAC,0.6
70,BYU,Independent,0.3
71,Coastal Carolina,Sun Belt,0.0
72,San Jose St.,MWC,-1.5
73,Marshall,Sun Belt,-1.8
74,Nebraska,Big Ten,-1.9
75,Arizona St.,Pac-12,-2.1
76,Virginia,ACC,-2.5
77,Stanford,Pac-12,-2.6
78,Fresno St.,MWC,-3.0
79,North Texas,C-USA,-3.5
80,Indiana,Big Ten,-3.8
81,Ga. Southern,Sun Belt,-3.9
82,Cal,Pac-12,-4.0
83,Buffalo,MAC,-4.1
84,Louisiana,Sun Belt,-4.2
85,Arizona,Pac-12,-4.3
86,Tulsa,AAC,-5.1
87,Southern Miss,Sun Belt,-5.3
88,Georgia St.,Sun Belt,-5.6
89,Rutgers,Big Ten,-6.6
90,FAU,C-USA,-6.7
91,Virginia Tech,ACC,-6.9
92,ODU,Sun Belt,-7.4
93,Army,Independent,-7.7
94,Georgia Tech,ACC,-8.2
95,Vanderbilt,SEC,-8.2
96,San Diego St.,MWC,-8.3
97,Northwestern,Big Ten,-8.4
98,Navy,AAC,-8.7
99,Wyoming,MWC,-9.7
100,Texas St.,Sun Belt,-10.2
101,Boston College,ACC,-10.2
102,Miami-OH,MAC,-10.8
103,Northern Illinois,MAC,-10.9
104,Kent St.,MAC,-10.9
105,Middle Tennessee,C-USA,-11.1
106,Ohio,MAC,-11.3
107,USF,AAC,-12.3
108,Arkansas St.,Sun Belt,-12.3
109,UNLV,MWC,-12.6
110,Central Michigan,MAC,-12.9
111,Eastern Michigan,MAC,-13.1
112,Utah St.,MWC,-13.6
113,Rice,C-USA,-14.2
114,Ball St.,MAC,-14.8
115,UTEP,C-USA,-15.1
116,Bowling Green,MAC,-15.2
117,La. Tech,C-USA,-15.7
118,UL-Monroe,Sun Belt,-15.8
119,Western Michigan,MAC,-16.5
120,Colorado,Pac-12,-17.4
121,UConn,Independent,-17.7
122,Temple,AAC,-17.8
123,Nevada,MWC,-18.2
124,Charlotte,C-USA,-18.3
125,Colorado St.,MWC,-22.2
126,New Mexico,MWC,-22.2
127,Akron,MAC,-23.4
128,FIU,C-USA,-23.8
129,Hawaii,MWC,-24.2
130,New Mexico St.,Independent,-24.5
131,UMass,Independent,-29.3
