avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,29.722841077170514
2,Oregon,Pac-12,26.88940032200776
3,Ohio State,Big Ten,26.24377161057255
4,Georgia,SEC,23.749094267718004
5,Penn State,Big Ten,22.57142806134073
6,Florida St.,ACC,22.44994958207079
7,Alabama,SEC,21.70343093461036
8,Texas,Big 12,20.509196756678964
9,LSU,SEC,20.163031467430507
10,Notre Dame,Independent,20.071332099997694
11,Washington,Pac-12,19.500322379388948
12,Oklahoma,Big 12,19.235297432271008
13,Kansas St.,Big 12,18.518974743532794
14,Ole Miss,SEC,17.528142838548955
15,Tennessee,SEC,17.16341315430116
16,Texas A&M,SEC,14.625142190725647
17,USC,Pac-12,14.608030842719867
18,Louisville,ACC,14.222555372795169
19,Oregon St.,Pac-12,13.618358708133554
20,Missouri,SEC,12.751221720738481
21,North Carolina,ACC,12.685572472665386
22,Clemson,ACC,12.192666791643342
23,Utah,Pac-12,12.115030194377054
24,UCLA,Pac-12,11.056861563925784
25,SMU,AAC,10.002000108341795
26,Miami-FL,ACC,9.910958420031005
27,Arizona,Pac-12,9.627559937952302
28,Kentucky,SEC,8.828610616730197
29,Duke,ACC,8.775192884738322
30,Oklahoma St.,Big 12,8.502040418953692
31,Kansas,Big 12,7.96183963055314
32,Troy,Sun Belt,7.949542714602938
33,Auburn,SEC,7.329570885502439
34,Texas Tech,Big 12,7.056681176320819
35,TCU,Big 12,7.053231588750387
36,JMU,Sun Belt,6.845442707625285
37,West Virginia,Big 12,6.6353683740615566
38,Arkansas,SEC,6.277069467878656
39,Wisconsin,Big Ten,6.236039803917957
40,Maryland,Big Ten,6.228686649399144
41,Florida,SEC,5.706622931251724
42,UCF,Big 12,5.526479145898292
43,Iowa,Big Ten,4.7738193966018
44,Tulane,AAC,4.73754486734685
45,Liberty,C-USA,4.572041711664802
46,Iowa St.,Big 12,4.323901002056079
47,NC State,ACC,4.027326810289497
48,Rutgers,Big Ten,3.2405397152690076
49,S. Alabama,Sun Belt,3.052996227561116
50,Fresno St.,MWC,2.9915474089641187
51,South Carolina,SEC,2.485853016751194
52,Georgia Tech,ACC,2.316415889918968
53,Air Force,MWC,2.193751579091383
54,Toledo,MAC,2.115009998439101
55,UTSA,AAC,1.699437232580365
56,Memphis,AAC,1.4589712840216085
57,Wash. St.,Pac-12,1.3776222701324772
58,Minnesota,Big Ten,1.3043172846555036
59,Nebraska,Big Ten,1.1734241766617806
60,Miss. St.,SEC,0.5493182914808615
61,Virginia Tech,ACC,0.3533013008117757
62,Cal,Pac-12,-0.05724617183647188
63,Boise St.,MWC,-0.3698134208172028
